Street;Neighbourhood;City;Zipcode;Country;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Amenities;Square Feet;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Number of Reviews;Reviews per Month
La Chopera, Madrid, Madrid 28045, Spain;La Chopera;Madrid;28045;Spain;Apartment;Private room;2;2.0;1.0;2.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,translation missing: en.hosting_amenity_50;161.0;30.0;;5.0;1;10;6;4;0.11
Palacio, Madrid, Madrid 28013, Spain;Palacio;Madrid;28013;Spain;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;624.0;65.0;100.0;30.0;2;15;3;19;0.32
Embajadores, Madrid, Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo;646.0;67.0;;20.0;2;15;3;119;2.2
Justicia, Madrid, Community of Madrid 28004, Spain;Justicia;Madrid;28004;Spain;Apartment;Entire home/apt;3;1.0;0.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_50;484.0;53.0;95.0;10.0;1;10;2;269;4.79
Madrid, Madrid 28015, Spain;;Madrid;28015;Spain;Apartment;Entire home/apt;5;1.0;2.0;4.0;Real Bed;TV,Wireless Internet,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;753.0;73.0;;;1;0;5;38;0.77
Malasaña, Madrid, Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer,Dryer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;377.0;75.0;;75.0;1;0;5;4;0.06
Delicias, Madrid, Comunidad de Madrid 28045, Spain;Delicias;Madrid;28045;Spain;Apartment;Entire home/apt;14;2.0;4.0;11.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Free parking on premises,Pets allowed,Doorman,Elevator in building,Hot tub,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;108.0;70.0;100.0;50.0;4;12;3;17;0.48
Hispanoamérica, Madrid, Community of Madrid 28016, Spain;Hispanoamérica;Madrid;28016;Spain;Bed & Breakfast;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Smoking allowed,Doorman,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Washer,First aid kit,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;108.0;23.0;;18.0;1;0;2;28;0.6
Castilla, Madrid, Madrid 28036, Spain;Castilla;Madrid;28036;Spain;Apartment;Entire home/apt;6;2.0;2.0;4.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Pool,Kitchen,Smoking allowed,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;1130.0;85.0;;30.0;4;10;3;1;0.02
Madrid, Community of Madrid 28005, Spain;;Madrid;28005;Spain;Loft;Entire home/apt;7;2.0;5.0;7.0;Real Bed;Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;1776.0;149.0;;;7;0;4;57;1.41
Castellana, Madrid, Madrid 28006, Spain;Castellana;Madrid;28006;Spain;Apartment;Entire home/apt;7;2.0;3.0;6.0;Real Bed;TV,Cable TV,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Doorman,Elevator in building,Heating,Family/kid friendly;1292.0;450.0;300.0;180.0;1;0;7;0;
Malasaña, Madrid, Community of Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;5;2.5;3.0;3.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo;1076.0;73.0;;;2;10;2;343;8.31
Justicia, Madrid, Community of Madrid 28004, Spain;Justicia;Madrid;28004;Spain;Apartment;Entire home/apt;6;;2.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron;753.0;102.0;300.0;52.0;1;11;3;24;0.66
Malasaña, Madrid, Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Heating,Washer;108.0;30.0;;20.0;1;0;3;0;
Lista, Madrid, Madrid 28006, Spain;Lista;Madrid;28006;Spain;Apartment;Entire home/apt;6;3.0;4.0;3.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Doorman Entry;1507.0;170.0;300.0;90.0;5;0;5;32;0.61
Castellana, Madrid, Madrid 28006, Spain;Castellana;Madrid;28006;Spain;Apartment;Entire home/apt;3;2.0;3.0;4.0;Real Bed;TV,Cable TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Washer / Dryer,Elevator in building,Heating,Family/kid friendly,Washer,Dryer;1292.0;280.0;100.0;;1;0;365;0;
Sol, Madrid, Community of Madrid 28013, Spain;Sol;Madrid;28013;Spain;Apartment;Entire home/apt;3;1.0;0.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance;646.0;45.0;200.0;20.0;2;25;2;215;5.42
Sol, Madrid, Madrid 28012, Spain;Sol;Madrid;28012;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;45.0;82.0;200.0;32.0;2;11;4;74;1.35
Sol, Madrid, Madrid 28012, Spain;Sol;Madrid;28012;Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;45.0;82.0;200.0;32.0;2;11;4;12;0.21
Almenara, Madrid, Madrid 28029, Spain;Almenara;Madrid;28029;Spain;Loft;Entire home/apt;4;1.0;0.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Hangers,Iron;484.0;52.0;150.0;;1;0;2;1;0.04
Valdeacederas, Madrid, Community of Madrid 28039, Spain;Valdeacederas;Madrid;28039;Spain;Bed & Breakfast;Private room;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo;646.0;30.0;90.0;;1;15;1;0;
Argüelles, Madrid, Madrid 28008, Spain;Argüelles;Madrid;28008;Spain;House;Private room;10;3.0;5.0;9.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Elevator in building,Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private living room,Private entrance;1076.0;25.0;100.0;20.0;1;22;4;19;0.32
Embajadores, Madrid, Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50,Room-darkening shades;592.0;56.0;100.0;35.0;2;7;3;25;0.4
Embajadores, Madrid, Comunidad de Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;House;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Smoking allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hair dryer,Laptop friendly workspace,Private entrance;409.0;49.0;120.0;20.0;2;10;1;100;2.39
Sol, Madrid, Community of Madrid 28013, Spain;Sol;Madrid;28013;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Hangers,Hair dryer,Iron;431.0;65.0;200.0;30.0;2;0;2;147;3.17
Arapiles, Madrid, Madrid 28015, Spain;Arapiles;Madrid;28015;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Pets live on this property,Elevator in building,Heating,Family/kid friendly,Suitable for events,Washer,Essentials,Shampoo;377.0;65.0;;;1;0;3;126;2.07
La Latina, Madrid, Community of Madrid 28005, Spain;La Latina;Madrid;28005;Spain;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;592.0;70.0;;;2;10;3;160;2.4
Palacio, Madrid, Madrid 28013, Spain;Palacio;Madrid;28013;Spain;Apartment;Entire home/apt;5;1.0;1.0;1.0;Real Bed;TV,Air conditioning,Kitchen,Doorman,Elevator in building,Heating,Family/kid friendly;55.0;75.0;150.0;;2;10;2;4;0.06
Palacio, Madrid, Madrid 28013, Spain;Palacio;Madrid;28013;Spain;Apartment;Entire home/apt;4;1.5;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Essentials;915.0;130.0;200.0;50.0;2;20;7;4;0.11
Madrid, Community of Madrid, Spain;;Madrid;;Spain;Apartment;Entire home/apt;10;3.0;3.0;6.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Buzzer/wireless intercom,Heating,Washer;1292.0;99.0;;;1;0;2;6;0.15
Acacias, Madrid, Madrid 28005, Spain;Acacias;Madrid;28005;Spain;Bed & Breakfast;Shared room;2;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,24-hour check-in;10.0;33.0;;;1;0;1;62;1.78
Palos do Moguer, Madrid, Madrid 28045, Spain;Palos do Moguer;Madrid;28045;Spain;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;32.0;66.0;200.0;33.0;2;11;4;6;0.11
Trafalgar, Madrid, Madrid 28010, Spain;Trafalgar;Madrid;28010;Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Washer;538.0;30.0;80.0;30.0;1;0;3;7;0.12
Usera, Madrid, Comunidad de Madrid 28026, Spain;Usera;Madrid;28026;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;Air conditioning,Kitchen,Smoking allowed,Heating,Essentials,Shampoo,Hangers,Hair dryer,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;538.0;40.0;200.0;40.0;1;0;5;13;0.57
Hortaleza, Madrid, Comunidad de Madrid 28050, Spain;Hortaleza;Madrid;28050;Spain;Bed & Breakfast;Private room;2;2.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Pool,Kitchen,Free parking on premises,Doorman,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer;108.0;30.0;;10.0;1;12;1;4;0.17
Palacio, Madrid, Community of Madrid 28013, Spain;Palacio;Madrid;28013;Spain;Bed & Breakfast;Shared room;16;3.0;1.0;16.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials;1938.0;20.0;;;1;20;1;2;0.06
Madrid, Community of Madrid, Spain;La Latina;Madrid;;Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Pets allowed,Buzzer/wireless intercom,Heating,Washer;861.0;20.0;100.0;;1;10;3;20;0.6
Sol, Madrid, Madrid 28013, Spain;Sol;Madrid;28013;Spain;Apartment;Entire home/apt;5;1.0;2.0;5.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Game console;753.0;100.0;;30.0;2;5;2;69;1.45
Malasaña, Madrid, Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Wheelchair accessible,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Hangers,Hair dryer;861.0;30.0;;20.0;1;12;1;191;2.67
Cuatro Caminos, Madrid, Madrid 28020, Spain;Cuatro Caminos;Madrid;28020;Spain;Apartment;Entire home/apt;9;2.0;3.0;8.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Suitable for events,Washer,Dryer;1184.0;100.0;150.0;50.0;4;10;2;65;1.56
Cuatro Caminos, Madrid, Madrid 28020, Spain;Cuatro Caminos;Madrid;28020;Spain;Apartment;Entire home/apt;4;2.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;603.0;46.0;150.0;25.0;2;7;3;8;0.16
Pacifico, Madrid, Comunidad de Madrid 28007, Spain;Pacifico;Madrid;28007;Spain;Apartment;Entire home/apt;4;1.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Wheelchair accessible,Pool,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;1184.0;77.0;200.0;;2;15;3;38;0.73
Ciudad Lineal, Madrid, Community of Madrid 28027, Spain;Ciudad Lineal;Madrid;28027;Spain;Apartment;Entire home/apt;4;2.0;2.0;2.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Free parking on premises,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance;969.0;78.0;200.0;25.0;4;0;5;34;0.93
Palacio, Madrid, Community of Madrid 28013, Spain;Palacio;Madrid;28013;Spain;House;Private room;2;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Essentials,Shampoo,Hangers,Hair dryer,translation missing: en.hosting_amenity_50;280.0;39.0;;15.0;1;0;2;159;5.09
Madrid, Madrid 28005, Spain;;Madrid;28005;Spain;House;Private room;2;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Elevator in building,Heating,Washer,First aid kit,Fire extinguisher,Essentials,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;161.0;25.0;;;1;20;2;4;0.24
La Latina, Madrid, Community of Madrid 28005, Spain;La Latina;Madrid;28005;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;549.0;60.0;100.0;30.0;2;15;1;126;2.6
Embajadores, Madrid, Community of Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Entire home/apt;6;1.0;2.0;4.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;753.0;75.0;200.0;35.0;2;5;3;109;1.9
Malasaña, Madrid, Comunidad de Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Dryer,Essentials,Shampoo,24-hour check-in,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;323.0;54.0;;15.0;1;0;1;65;1.37
Justicia, Madrid, Comunidad de Madrid 28004, Spain;Justicia;Madrid;28004;Spain;Apartment;Entire home/apt;6;1.0;2.0;6.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;732.0;500.0;;;4;15;2;65;1.65
Malasaña, Madrid, Community of Madrid 28015, Spain;Malasaña;Madrid;28015;Spain;Loft;Entire home/apt;3;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;484.0;64.0;150.0;40.0;2;29;2;94;2.16
Embajadores, Madrid, Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;40.0;76.0;200.0;32.0;2;11;4;13;0.27
Sol, Madrid, Madrid 28012, Spain;Sol;Madrid;28012;Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;592.0;82.0;200.0;32.0;2;11;4;66;1.34
Madrid, Community of Madrid 28004, Spain;;Madrid;28004;Spain;Apartment;Entire home/apt;4;1.0;0.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer;409.0;68.0;;;1;0;3;34;0.89
Sol, Madrid, Madrid 28013, Spain;Sol;Madrid;28013;Spain;House;Entire home/apt;4;1.0;0.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo;398.0;60.0;;;2;0;2;19;0.34
Embajadores, Madrid, Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials;55.0;83.0;200.0;33.0;2;11;4;5;0.11
Goya, Madrid, Comunidad de Madrid 28001, Spain;Goya;Madrid;28001;Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Wheelchair accessible,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Essentials,Shampoo,Hangers,Laptop friendly workspace;1044.0;35.0;;;1;15;3;72;1.63
Ciudad Jardin, Madrid, Community of Madrid 28002, Spain;Ciudad Jardin;Madrid;28002;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;646.0;69.0;110.0;30.0;1;0;5;12;0.31
Almenara, Madrid, Madrid 28029, Spain;Almenara;Madrid;28029;Spain;Apartment;Entire home/apt;6;2.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Heating,Washer,Hangers,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;646.0;67.0;150.0;;4;0;2;4;0.08
Hortaleza, Madrid, Madrid 28043, Spain;Hortaleza;Madrid;28043;Spain;House;Entire home/apt;12;3.0;4.0;12.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,First aid kit,Safety card,Essentials,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;108.0;155.0;;65.0;8;15;2;14;1.08
Villaverde, Madrid, Madrid 28041, Spain;Villaverde;Madrid;28041;Spain;Apartment;Entire home/apt;5;1.0;3.0;3.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;60.0;55.0;150.0;30.0;1;0;3;51;1.66
Sol, Madrid, Community of Madrid 28012, Spain;Sol;Madrid;28012;Spain;Loft;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;323.0;69.0;;;1;0;2;297;6.07
Jerónimos, Madrid, Madrid 28014, Spain;Jerónimos;Madrid;28014;Spain;Apartment;Entire home/apt;4;2.0;1.0;2.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Kitchen,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Hair dryer,Iron;700.0;95.0;100.0;30.0;2;15;3;9;0.17
Jerónimos, Madrid, Community of Madrid 28001, Spain;Jerónimos;Madrid;28001;Spain;Apartment;Entire home/apt;16;5.0;5.0;13.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;5167.0;365.0;400.0;85.0;5;37;1;43;0.88
Hispanoamérica, Madrid, Community of Madrid 28036, Spain;Hispanoamérica;Madrid;28036;Spain;House;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Doorman,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;129.0;45.0;200.0;;1;0;4;22;0.67
Castilla, Madrid, Madrid 28046, Spain;Castilla;Madrid;28046;Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Internet,Air conditioning,Wheelchair accessible,Pool,Kitchen,Smoking allowed,Pets allowed,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Dryer;603.0;95.0;;40.0;1;0;5;1;0.04
Bellas Vistas, Madrid, Community of Madrid 28039, Spain;Bellas Vistas;Madrid;28039;Spain;Apartment;Private room;1;1.0;1.0;2.0;Real Bed;TV,Cable TV,Wireless Internet,Kitchen,Smoking allowed,Buzzer/wireless intercom,Heating,Suitable for events,Washer,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron;161.0;22.0;90.0;;1;10;1;44;1.03
Aluche, Madrid, Madrid 28047, Spain;Aluche;Madrid;28047;Spain;House;Entire home/apt;5;2.0;3.0;5.0;Real Bed;TV,Pool,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer;90.0;75.0;100.0;25.0;1;0;90;8;0.39
Fuencarral-el Pardo, Madrid, Community of Madrid 28035, Spain;Fuencarral-el Pardo;Madrid;28035;Spain;House;Private room;1;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Free parking on premises,Buzzer/wireless intercom,Heating,First aid kit,Essentials,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;700.0;21.0;100.0;;1;0;2;6;0.69
Puente de Vallecas, Madrid, Madrid 28053, Spain;Puente de Vallecas;Madrid;28053;Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Wireless Internet,Wheelchair accessible,Kitchen,Elevator in building,Heating,Washer,Shampoo;151.0;40.0;;10.0;1;10;1;3;0.1
