Street;Neighbourhood;City;Zipcode;Country;Latitude;Longitude;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Amenities;Square Feet;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Number of Reviews;Reviews per Month
Acacias, Madrid, Madrid 28005, Spain;Acacias;Madrid;28005;Spain;40.40390721144166;-3.705446857804974;Other;Private room;2;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Elevator in building,Heating,Washer,Smoke detector,First aid kit,Shampoo,24-hour check-in;8.0;35.0;;;1;0;1;199;5.8
Malasaña, Madrid, Comunidad de Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;40.42410445064967;-3.700936794980813;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;484.0;74.0;100.0;25.0;1;0;4;132;2.79
Malasaña, Madrid, Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;40.42322806482803;-3.706497129615387;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,Smoke detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_50,Self Check-In,Lockbox,Private living room;323.0;55.0;90.0;20.0;2;10;2;257;4.45
Sol, Madrid, Community of Madrid 28013, Spain;Sol;Madrid;28013;Spain;40.4165023659416;-3.708657940205774;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Essentials;484.0;85.0;150.0;40.0;2;20;2;3;0.08
Malasaña, Madrid, Comunidad de Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;40.42074228967686;-3.7036821191928753;Apartment;Entire home/apt;6;1.0;2.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Essentials,Hangers,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;700.0;80.0;200.0;60.0;2;15;3;19;0.28
Ciudad Lineal, Madrid, Madrid 28027, Spain;Ciudad Lineal;Madrid;28027;Spain;40.43715633561498;-3.65187005153284;Apartment;Entire home/apt;5;2.0;2.0;4.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo;807.0;85.0;;;4;0;7;10;0.25
Malasaña, Madrid, Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;40.423948194970365;-3.705094560079624;Apartment;Entire home/apt;6;1.5;3.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;75.0;119.0;200.0;48.0;2;11;4;3;0.11
Recoletos, Madrid, Community of Madrid 28001, Spain;Recoletos;Madrid;28001;Spain;40.42781165399828;-3.6868185697554434;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;323.0;60.0;100.0;25.0;1;0;1;263;4.32
Madrid, Community of Madrid 28004, Spain;;Madrid;28004;Spain;40.428875158939015;-3.694823198386183;Other;Private room;4;1.5;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Breakfast,Pets live on this property,Dog(s),Indoor fireplace,Buzzer/wireless intercom,Heating,Suitable for events,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private living room,Private entrance;2153.0;33.0;300.0;40.0;1;30;4;7;0.2
Palacio, Madrid, Community of Madrid 28013, Spain;Palacio;Madrid;28013;Spain;40.42153428470451;-3.709086621571178;Apartment;Private room;2;1.0;1.0;1.0;Futon;Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Shampoo,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;50.0;32.0;;;2;0;3;210;3.11
Almenara, Madrid, 28046, Spain;Almenara;Madrid;28046;Spain;40.47293290995725;-3.689448997740272;Apartment;Entire home/apt;6;1.5;3.0;4.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;1507.0;170.0;150.0;;2;25;2;20;0.4
Malasaña, Madrid, Community of Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;40.423391841050034;-3.7012929677849007;Apartment;Entire home/apt;6;2.0;2.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials;1130.0;500.0;;;3;5;2;20;0.52
Trafalgar, Madrid, Madrid 28010, Spain;Trafalgar;Madrid;28010;Spain;40.42897400540068;-3.697105718038688;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Washer;538.0;30.0;80.0;30.0;1;0;3;7;0.12
Delicias, Madrid, Comunidad de Madrid 28045, Spain;Delicias;Madrid;28045;Spain;40.3955157017637;-3.694464812019626;Apartment;Entire home/apt;14;2.0;4.0;11.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Free parking on premises,Pets allowed,Doorman,Elevator in building,Hot tub,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;108.0;70.0;100.0;50.0;4;12;3;17;0.48
Madrid, Community of Madrid, Spain;La Latina;Madrid;;Spain;40.40970517560235;-3.713561192884109;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Pets allowed,Buzzer/wireless intercom,Heating,Washer;861.0;20.0;100.0;;1;10;3;20;0.6
Malasaña, Madrid, Madrid 28015, Spain;Malasaña;Madrid;28015;Spain;40.42586013908652;-3.710490620409944;Apartment;Entire home/apt;4;1.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hair dryer,Iron;484.0;40.0;;30.0;2;10;3;86;1.48
San Blas, Madrid , Madrid 28022, Spain;San Blas;Madrid;28022;Spain;40.430040589288446;-3.603803033309445;Apartment;Private room;8;2.0;1.0;6.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Pool,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Essentials,Shampoo;753.0;25.0;;5.0;1;15;3;14;0.24
Palos do Moguer, Madrid, Comunidad de Madrid 28045, Spain;Palos do Moguer;Madrid;28045;Spain;40.402985620212526;-3.691815647976894;Dorm;Private room;1;0.0;1.0;1.0;Pull-out Sofa;Kitchen,Smoking allowed,Pets live on this property,Cat(s),Buzzer/wireless intercom,Heating,Family/kid friendly;129.0;149.0;;;1;75;2;0;
Trafalgar, Madrid, Madrid 28015, Spain;Trafalgar;Madrid;28015;Spain;40.43321576310744;-3.703643346462095;Apartment;Private room;1;2.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,First aid kit,Safety card,Essentials;1722.0;50.0;;;1;0;1;0;
Malasaña, Madrid, Comunidad de Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;40.42385278414388;-3.70085365424971;Apartment;Entire home/apt;2;1.0;1.0;1.0;Pull-out Sofa;Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials;35.0;50.0;100.0;;1;0;5;38;0.68
Sol, Madrid, Madrid 28013, Spain;Sol;Madrid;28013;Spain;40.41750307013794;-3.701403511929625;Apartment;Shared room;7;3.0;1.0;10.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating;269.0;13.0;;;1;13;2;150;2.71
Acacias, Madrid, Madrid 28005, Spain;Acacias;Madrid;28005;Spain;40.40393960538261;-3.70984564265302;House;Private room;2;1.0;1.0;2.0;Real Bed;TV,Air conditioning,Wheelchair accessible,Kitchen,Elevator in building,Heating,Washer;8.0;33.0;;;1;0;1;24;0.71
Aluche, Madrid, Madrid 28047, Spain;Aluche;Madrid;28047;Spain;40.4034095295952;-3.740841968636018;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Doorman,Elevator in building,Heating,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;97.0;16.0;;;1;8;2;23;0.76
Sol, Madrid, Community of Madrid 28012, Spain;Sol;Madrid;28012;Spain;40.41415198716986;-3.705004049414424;Apartment;Entire home/apt;6;2.0;3.0;4.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Hot tub,Heating,Family/kid friendly,Suitable for events,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;2153.0;199.0;350.0;60.0;2;30;2;140;3.6
Aluche, Madrid, Madrid 28011, Spain;Aluche;Madrid;28011;Spain;40.40567360736455;-3.7492041565278895;Dorm;Private room;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Wheelchair accessible,Smoking allowed,Doorman,Pets live on this property,Cat(s),Elevator in building,Buzzer/wireless intercom,Heating;43.0;50.0;;;1;0;1;0;
Aluche, Madrid, Madrid 28047, Spain;Aluche;Madrid;28047;Spain;40.4039784878814;-3.731631539649973;House;Entire home/apt;5;2.0;3.0;5.0;Real Bed;TV,Pool,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer;90.0;75.0;100.0;25.0;1;0;90;8;0.39
Castilla, Madrid, Community of Madrid, Spain;Castilla;Madrid;;Spain;40.46784490717117;-3.686121763615021;Apartment;Entire home/apt;4;1.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;915.0;108.0;200.0;45.0;2;5;4;38;1.01
Pacifico, Madrid, Comunidad de Madrid 28007, Spain;Pacifico;Madrid;28007;Spain;40.40392112187946;-3.681468679993115;Apartment;Entire home/apt;4;1.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Wheelchair accessible,Pool,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;1184.0;77.0;200.0;;2;15;3;38;0.73
Embajadores, Madrid, Community of Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;40.40859855662677;-3.701872776045383;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Essentials,Shampoo;215.0;40.0;100.0;17.0;1;0;3;147;3.14
Malasaña, Madrid, Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;40.42310508969295;-3.704817531727243;Apartment;Private room;1;0.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Washer,Hangers,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;129.0;25.0;150.0;;1;0;10;14;0.24
Palos do Moguer, Madrid, Community of Madrid 28045, Spain;Palos do Moguer;Madrid;28045;Spain;40.40150581076159;-3.6916213446444224;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Pets allowed,Doorman,Elevator in building,Indoor fireplace,Buzzer/wireless intercom,Heating,Washer,Dryer,First aid kit,Essentials,24-hour check-in,Hair dryer,Iron,Laptop friendly workspace;86.0;28.0;;5.0;1;10;1;22;0.94
Recoletos, Madrid, Madrid 28001, Spain;Recoletos;Madrid;28001;Spain;40.42800213938408;-3.686409218062005;Apartment;Entire home/apt;2;1.0;0.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;323.0;61.0;100.0;25.0;1;0;1;135;2.33
Embajadores, Madrid, Community of Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;40.40831273401514;-3.703662681067753;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo;700.0;85.0;200.0;;2;8;2;14;0.37
Sol, Madrid, Madrid 28013, Spain;Sol;Madrid;28013;Spain;40.41878430815803;-3.701260831847704;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;205.0;57.0;100.0;50.0;1;0;3;36;1.85
Palacio, Madrid, Comunidad de Madrid 28004, Spain;Palacio;Madrid;28004;Spain;40.42167733015293;-3.700179463435736;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo;215.0;30.0;;15.0;2;10;2;0;
Madrid, Community of Madrid 28005, Spain;;Madrid;28005;Spain;40.4151069394993;-3.706373251580605;Loft;Entire home/apt;7;2.0;5.0;7.0;Real Bed;Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;1776.0;149.0;;;7;0;4;57;1.41
Palacio, Madrid, Madrid 28013, Spain;Palacio;Madrid;28013;Spain;40.419527367029886;-3.7100434489445897;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;624.0;65.0;100.0;30.0;2;15;3;19;0.32
Cortes, Madrid, Madrid 28012, Spain;Cortes;Madrid;28012;Spain;40.41501945302523;-3.700621599438584;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;40.0;76.0;200.0;32.0;2;11;4;10;0.25
Carabanchel, Madrid, Community of Madrid 28025, Spain;Carabanchel;Madrid;28025;Spain;40.37987394939413;-3.7321511156632057;Apartment;Entire home/apt;6;1.0;3.0;4.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Free parking on premises,Pets allowed,Elevator in building,Hot tub,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Bathtub,High chair,Children’s books and toys,Pack ’n Play/travel crib,Children’s dinnerware;1076.0;85.0;;45.0;2;0;2;86;1.29
Vicálvaro, Madrid, Community of Madrid 28032, Spain;Vicálvaro;Madrid;28032;Spain;40.40918516189597;-3.614324823312965;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;TV,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Breakfast,Pets live on this property,Dog(s),Cat(s),Other pet(s),Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;646.0;35.0;100.0;40.0;2;31;1;3;0.2
Malasaña, Madrid, Community of Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;40.42080798667143;-3.706499157323492;Apartment;Entire home/apt;9;2.0;3.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron;1076.0;120.0;;25.0;6;25;1;9;0.23
Malasaña, Madrid, Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;40.42394428807078;-3.7031541157115786;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer;1076.0;40.0;;;1;0;1;5;0.09
Malasaña, Madrid, Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;40.427634277999;-3.704975242948186;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Heating,Washer;108.0;30.0;;20.0;1;0;3;0;
El Tréntaiseis, Madrid, Community of Madrid 28007, Spain;El Tréntaiseis;Madrid;28007;Spain;40.40908425073682;-3.6731307459480136;Chalet;Entire home/apt;6;3.0;3.0;3.0;Real Bed;Wireless Internet,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Pets live on this property,Dog(s),Cat(s),Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Dryer;1776.0;;;100.0;1;250;5;0;
Justicia, Madrid, Comunidad de Madrid 28004, Spain;Justicia;Madrid;28004;Spain;40.420509038096135;-3.699712303857417;Apartment;Entire home/apt;6;1.0;2.0;6.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;732.0;500.0;;;4;15;2;65;1.65
Trafalgar, Madrid, Community of Madrid 28010, Spain;Trafalgar;Madrid;28010;Spain;40.43648202019377;-3.701928519994095;Apartment;Entire home/apt;2;1.0;0.0;2.0;Real Bed;TV,Wireless Internet,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;323.0;60.0;;25.0;2;15;4;37;0.91
Embajadores, Madrid, Community of Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;40.408673315364254;-3.698362333430136;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;484.0;59.0;100.0;;2;15;2;124;3.32
Cuatro Caminos, Madrid, Madrid 28020, Spain;Cuatro Caminos;Madrid;28020;Spain;40.45021033474468;-3.699101695189665;Apartment;Entire home/apt;4;2.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;603.0;46.0;150.0;25.0;2;7;3;8;0.16
Embajadores, Madrid, Community of Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;40.4108172710983;-3.701474100235216;Apartment;Entire home/apt;3;1.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;538.0;78.0;100.0;30.0;2;10;2;176;4.41
Malasaña, Madrid, Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;40.42902479416016;-3.703977984822647;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer,Dryer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;377.0;75.0;;75.0;1;0;5;4;0.06
Cuatro Caminos, Madrid, Madrid 28020, Spain;Cuatro Caminos;Madrid;28020;Spain;40.45240927202583;-3.699048478776108;Apartment;Entire home/apt;9;2.0;3.0;8.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Suitable for events,Washer,Dryer;1184.0;100.0;150.0;50.0;4;10;2;65;1.56
Embajadores, Madrid, Community of Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;40.40803070322183;-3.6985459633992894;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Self Check-In,Doorman Entry;538.0;52.0;200.0;;1;0;2;73;2.02
Ciudad Jardin, Madrid, Madrid 28002, Spain;Ciudad Jardin;Madrid;28002;Spain;40.45061339620063;-3.674017179256885;Bed & Breakfast;Private room;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Smoking allowed,Breakfast,Pets live on this property,Dog(s),Heating,Washer,Dryer;377.0;50.0;;;1;10;3;9;0.18
Moratalaz, Madrid, Madrid 28030, Spain;Moratalaz;Madrid;28030;Spain;40.41167802210499;-3.653149432934958;Apartment;Entire home/apt;7;2.0;4.0;5.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron;1345.0;120.0;200.0;;4;0;5;20;0.55
Sol, Madrid, Madrid 28013, Spain;Sol;Madrid;28013;Spain;40.41794471700357;-3.701260351777852;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Pets live on this property,Cat(s),Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo;915.0;70.0;;30.0;2;8;3;7;0.12
La Latina, Madrid, Community of Madrid 28005, Spain;La Latina;Madrid;28005;Spain;40.41172251999872;-3.709896750269565;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;592.0;70.0;;;2;10;3;160;2.4
La Latina, Madrid, Community of Madrid 28005, Spain;La Latina;Madrid;28005;Spain;40.40898372774963;-3.7087159871566016;Apartment;Entire home/apt;8;1.0;3.0;5.0;Real Bed;TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Hot tub,Heating,Family/kid friendly,Washer,Essentials,Hair dryer;1076.0;80.0;200.0;;2;10;3;74;1.85
Aluche, Madrid, Madrid 28047, Spain;Aluche;Madrid;28047;Spain;40.39103321203726;-3.745121495045115;House;Private room;3;1.0;1.0;3.0;Real Bed;TV,Internet,Air conditioning,Kitchen,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer;90.0;38.0;;;1;28;1;0;
La Latina, Madrid, Madrid 28012, Spain;La Latina;Madrid;28012;Spain;40.41304060951796;-3.705677875451284;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;55.0;81.0;200.0;32.0;2;11;4;14;0.27
La Latina, Madrid, Madrid 28012, Spain;La Latina;Madrid;28012;Spain;40.413118720296126;-3.705199290774614;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Essentials;484.0;85.0;200.0;40.0;2;20;2;25;0.82
La Latina, Madrid, Madrid 28012, Spain;La Latina;Madrid;28012;Spain;40.412823155557525;-3.707486865306563;Apartment;Entire home/apt;2;1.0;1.0;1.0;Pull-out Sofa;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer;30.0;65.0;200.0;32.0;2;11;4;2;0.04
Embajadores, Madrid, Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;40.41235762377279;-3.7028381180832137;Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance;560.0;72.0;;30.0;1;10;3;42;0.66
Cortes, Madrid, Madrid 28012, Spain;Cortes;Madrid;28012;Spain;40.41493555088644;-3.701136049407292;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;25.0;70.0;200.0;32.0;2;11;4;10;0.71
