Street;Neighbourhood;City;Zipcode;Country;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Amenities;Square Feet;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Location;Cancellation Policy;Reviews per Month
Madrid, Comunidad de Madrid 28028, Spain;;Madrid;28028;Spain;Apartment;Entire home/apt;9;1.5;3.0;9.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;;85.0;150.0;30.0;3;20;1;25;54;84;359;4;9.0;strict;0.33
Madrid, Community of Madrid 28005, Spain;;Madrid;28005;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Air conditioning,Kitchen,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49;;35.0;100.0;15.0;1;0;2;0;5;20;102;0;;flexible;
Madrid, Comunidad de Madrid 28035, Spain;;Madrid;28035;Spain;House;Private room;3;1.0;1.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Pets live on this property,Dog(s),Heating;;150.0;;60.0;1;0;1;0;0;0;0;0;;flexible;
Madrid, Comunidad de Madrid 28001, Spain;;Madrid;28001;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_50;;80.0;200.0;30.0;1;10;2;4;21;43;44;0;;flexible;
Madrid, Comunidad de Madrid, Spain;;Madrid;;Spain;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;70.0;100.0;20.0;1;0;2;2;13;26;117;26;10.0;moderate;2.73
Madrid, Comunidad de Madrid 28012, Spain;;Madrid;28012;Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Breakfast,Pets live on this property,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo;;45.0;;;1;0;1;27;57;87;362;4;10.0;flexible;0.23
Cuatro Caminos, Madrid, Madrid 28020, Spain;Cuatro Caminos;Madrid;28020;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron;;42.0;;45.0;2;12;3;9;26;49;323;58;9.0;flexible;1.04
Embajadores, Madrid, Community of Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;Internet,Wireless Internet,Air conditioning,Kitchen,Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials;;69.0;200.0;30.0;2;20;4;9;18;25;296;96;9.0;strict;2.66
Madrid, Comunidad de Madrid 28013, Spain;;Madrid;28013;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;55.0;;12.0;1;0;3;1;1;5;5;1;10.0;moderate;0.31
Puente de Vallecas, Madrid, Comunidad de Madrid 28053, Spain;Puente de Vallecas;Madrid;28053;Spain;Apartment;Private room;4;1.0;1.0;3.0;Real Bed;Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Lock on bedroom door,translation missing: en.hosting_amenity_50;;48.0;300.0;;2;0;1;4;4;26;161;2;5.0;strict;0.32
Malasaña, Madrid, Community of Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron;;65.0;;25.0;3;0;1;3;6;16;272;223;9.0;strict;4.76
Madrid, Comunidad de Madrid, Spain;;Madrid;;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron;;65.0;200.0;25.0;2;8;1;9;36;56;331;77;10.0;moderate;5.51
Madrid, Comunidad de Madrid 28004, Spain;;Madrid;28004;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron;;48.0;;25.0;1;0;1;3;7;14;251;29;10.0;strict;3.32
Hortaleza, Madrid, Comunidad de Madrid 28042, Spain;Hortaleza;Madrid;28042;Spain;House;Private room;3;1.5;1.0;2.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Pool,Kitchen,Free parking on premises,Pets allowed,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace;;38.0;;5.0;1;6;1;23;48;73;347;29;10.0;flexible;1.6
Argüelles, Madrid, Comunidad de Madrid 28008, Spain;Argüelles;Madrid;28008;Spain;Bed & Breakfast;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Doorman,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;;15.0;;;1;0;1;0;0;0;0;27;10.0;moderate;2.4
Madrid, Community of Madrid, Spain;;Madrid;;Spain;House;Private room;2;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Gym,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer;;25.0;100.0;23.0;1;23;5;30;60;90;365;1;;strict;0.04
Sol, Madrid, Comunidad de Madrid 28013, Spain;Sol;Madrid;28013;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;75.0;175.0;20.0;2;15;2;4;11;22;297;4;10.0;moderate;3.24
Sol, Madrid, Comunidad de Madrid 28012, Spain;Sol;Madrid;28012;Spain;Apartment;Entire home/apt;6;1.0;2.0;4.0;Real Bed;TV,Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;99.0;;20.0;1;0;1;0;7;13;232;28;10.0;strict;8.32
Embajadores, Madrid, Comunidad de Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer,Essentials,Hair dryer,Iron,Laptop friendly workspace;;30.0;;10.0;1;0;1;7;37;67;342;10;10.0;flexible;0.93
Prosperidad, Madrid, Community of Madrid 28002, Spain;Prosperidad;Madrid;28002;Spain;Bed & Breakfast;Private room;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;35.0;;;1;0;7;30;60;90;365;1;10.0;flexible;0.03
Palacio, Madrid, Comunidad de Madrid 28013, Spain;Palacio;Madrid;28013;Spain;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Elevator in building,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Private entrance;;40.0;150.0;20.0;1;0;2;17;41;71;72;1;10.0;strict;1.0
San Blas, Madrid, Comunidad de Madrid 28022, Spain;San Blas;Madrid;28022;Spain;House;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,First aid kit,Essentials,Hair dryer,Iron,Laptop friendly workspace;;75.0;;;1;0;1;27;57;87;362;1;10.0;flexible;1.0
Malasaña, Madrid, Comunidad de Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,24-hour check-in,Hangers,Hair dryer,Iron;;80.0;150.0;49.0;2;15;2;0;0;3;272;74;10.0;strict;2.67
Embajadores, Madrid, Comunidad de Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Essentials,Shampoo,Hangers;;40.0;150.0;30.0;1;0;2;0;0;0;66;0;;flexible;
Madrid, Comunidad de Madrid 28025, Spain;;Madrid;28025;Spain;Apartment;Shared room;1;1.0;1.0;8.0;Real Bed;Internet,Wireless Internet,Wheelchair accessible,Kitchen,Free parking on premises,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;10.0;;5.0;1;10;3;12;42;69;135;5;8.0;moderate;0.91
Goya, Madrid, Comunidad de Madrid 28009, Spain;Goya;Madrid;28009;Spain;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials;;60.0;200.0;40.0;1;15;2;16;39;69;341;1;10.0;strict;0.04
Embajadores, Madrid, Comunidad de Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Breakfast,Pets live on this property,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo;;60.0;;;1;0;1;0;2;32;307;0;;flexible;
Usera, Madrid, Comunidad de Madrid 28041, Spain;Usera;Madrid;28041;Spain;Apartment;Entire home/apt;5;2.0;3.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Laptop friendly workspace;;49.0;;;1;0;1;3;8;34;72;27;9.0;moderate;5.83
La Latina, Madrid, Comunidad de Madrid 28005, Spain;La Latina;Madrid;28005;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron;;55.0;120.0;;2;12;4;6;20;36;109;13;10.0;moderate;2.5
Palacio, Madrid, Comunidad de Madrid 28013, Spain;Palacio;Madrid;28013;Spain;Apartment;Entire home/apt;3;1.0;0.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,24-hour check-in,Hangers,Hair dryer,Iron;;69.0;;;2;5;2;18;38;64;334;6;9.0;moderate;0.28
La Latina, Madrid, Madrid 28012, Spain;La Latina;Madrid;28012;Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Elevator in building,Heating,Washer,Dryer,Essentials,Shampoo;269.0;59.0;;;1;0;1;2;7;13;230;192;10.0;moderate;4.56
Madrid, Comunidad de Madrid 28013, Spain;;Madrid;28013;Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Breakfast,Heating,Washer,Smoke detector,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;40.0;300.0;6.0;1;0;1;4;4;4;192;13;10.0;flexible;1.93
Madrid, Comunidad de Madrid 28018, Spain;;Madrid;28018;Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Heating;;35.0;;;1;0;1;0;0;0;0;0;;flexible;
Madrid, Comunidad de Madrid 28027, Spain;;Madrid;28027;Spain;Apartment;Private room;2;1.5;1.0;1.0;Real Bed;Wireless Internet,Elevator in building,Heating;;30.0;;;1;10;2;27;57;87;362;12;9.0;flexible;0.65
Argüelles, Madrid, Community of Madrid 28008, Spain;Argüelles;Madrid;28008;Spain;Apartment;Entire home/apt;4;1.0;0.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance;;125.0;;25.0;1;0;1;19;41;67;330;80;9.0;moderate;1.67
Sol, Madrid, Comunidad de Madrid 28013, Spain;Sol;Madrid;28013;Spain;Apartment;Private room;2;5.0;1.0;2.0;Real Bed;TV,Wireless Internet,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Dryer,Smoke detector,Fire extinguisher,Essentials,Lock on bedroom door,24-hour check-in,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;33.0;200.0;;1;0;4;0;0;10;10;3;10.0;strict;0.3
Fuente del Berro, Madrid, Comunidad de Madrid 28028, Spain;Fuente del Berro;Madrid;28028;Spain;Bed & Breakfast;Shared room;1;1.0;1.0;1.0;Couch;TV,Internet,Kitchen,Elevator in building,Smoke detector,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer;;20.0;;;1;0;2;0;0;0;0;3;8.0;flexible;0.26
Sol, Madrid, Comunidad de Madrid 28012, Spain;Sol;Madrid;28012;Spain;Condominium;Entire home/apt;4;1.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;70.0;200.0;10.0;2;10;1;5;10;23;275;84;10.0;flexible;4.04
Madrid, Comunidad de Madrid 28005, Spain;;Madrid;28005;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;49.0;;20.0;1;0;1;17;44;74;75;71;9.0;strict;4.28
Madrid, Comunidad de Madrid, Spain;;Madrid;;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Kitchen,Free parking on premises,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron;;42.0;;;2;10;10;20;20;20;20;2;6.0;flexible;0.41
Madrid, Comunidad de Madrid 28012, Spain;;Madrid;28012;Spain;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Doorman,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer;;72.0;;25.0;1;0;2;1;2;4;7;28;10.0;moderate;2.16
Embajadores, Madrid, Comunidad de Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;;76.0;100.0;25.0;2;10;2;17;46;67;342;2;10.0;flexible;0.5
Pacifico, Madrid, Comunidad de Madrid 28007, Spain;Pacifico;Madrid;28007;Spain;Other;Entire home/apt;7;2.0;4.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Laptop friendly workspace;;120.0;96.0;50.0;3;12;2;13;34;53;325;17;9.0;moderate;2.44
Justicia, Madrid, Community of Madrid 28004, Spain;Justicia;Madrid;28004;Spain;Apartment;Private room;2;3.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Washer,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;20.0;;15.0;1;5;10;0;6;36;311;3;10.0;strict;0.09
Goya, Madrid, Comunidad de Madrid 28001, Spain;Goya;Madrid;28001;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;80.0;400.0;60.0;2;0;6;17;47;77;167;4;8.0;flexible;0.37
Cortes, Madrid, Comunidad de Madrid 28014, Spain;Cortes;Madrid;28014;Spain;Apartment;Entire home/apt;4;1.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;101.0;200.0;48.0;2;15;4;6;17;36;279;13;10.0;flexible;0.68
Madrid, Comunidad de Madrid 28002, Spain;;Madrid;28002;Spain;House;Private room;2;2.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Smoking allowed,Breakfast,Pets live on this property,Elevator in building,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers;;35.0;;;1;0;1;14;39;67;342;48;9.0;flexible;3.06
Madrid, Comunidad de Madrid 28015, Spain;;Madrid;28015;Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Heating,Washer,Fire extinguisher,Shampoo,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;40.0;;;1;0;1;20;26;56;331;0;;flexible;
Centro, Madrid, Madrid 28008, Spain;Centro;Madrid;28008;Spain;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;TV,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Laptop friendly workspace;269.0;42.0;94.0;10.0;1;15;2;13;20;32;307;4;10.0;strict;2.45
La Latina, Madrid, Comunidad de Madrid 28012, Spain;La Latina;Madrid;28012;Spain;Apartment;Entire home/apt;7;2.0;2.0;4.0;Real Bed;TV,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron;;105.0;150.0;35.0;4;15;2;0;3;14;239;22;10.0;strict;5.55
Madrid, 28050, Spain;;Madrid;28050;Spain;House;Entire home/apt;2;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Pool,Kitchen,Free parking on premises,Smoking allowed,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;70.0;150.0;10.0;1;10;1;11;20;50;325;3;10.0;strict;1.13
Sol, Madrid, Comunidad de Madrid 28012, Spain;Sol;Madrid;28012;Spain;House;Entire home/apt;5;1.5;3.0;3.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Free parking on premises,Doorman,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;104.0;;40.0;2;20;2;6;18;33;102;21;10.0;strict;4.2
Cuatro Caminos, Madrid, Madrid 28020, Spain;Cuatro Caminos;Madrid;28020;Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Heating,Washer;;20.0;;;1;5;1;5;33;59;331;151;9.0;moderate;2.53
Justicia, Madrid, Comunidad de Madrid 28004, Spain;Justicia;Madrid;28004;Spain;Apartment;Entire home/apt;6;1.0;2.0;3.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Washer,First aid kit,Fire extinguisher,Essentials,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;75.0;200.0;45.0;2;20;1;3;14;30;305;95;10.0;moderate;3.35
Palacio, Madrid, 28013, Spain;Palacio;Madrid;28013;Spain;Apartment;Entire home/apt;5;2.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron;;100.0;150.0;60.0;2;15;2;0;0;0;270;4;9.0;strict;0.22
Hortaleza, Madrid, Comunidad de Madrid 28043, Spain;Hortaleza;Madrid;28043;Spain;House;Entire home/apt;10;3.5;4.0;5.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Free parking on premises,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;350.0;500.0;150.0;8;50;5;0;0;0;0;1;8.0;strict;0.11
Hispanoamérica, Madrid, Comunidad de Madrid 28036, Spain;Hispanoamérica;Madrid;28036;Spain;Apartment;Entire home/apt;4;1.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,24-hour check-in,Iron,Laptop friendly workspace;;90.0;;20.0;1;0;1;18;42;72;347;30;10.0;moderate;2.45
Embajadores, Madrid, Comunidad de Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Pets allowed,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;47.0;;15.0;3;15;2;0;4;9;48;19;10.0;flexible;5.88
Palacio, Madrid, Madrid 28013, Spain;Palacio;Madrid;28013;Spain;Bed & Breakfast;Private room;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo;;30.0;;;1;15;1;4;23;41;259;250;10.0;strict;4.62
Madrid, Comunidad de Madrid 28015, Spain;;Madrid;28015;Spain;Apartment;Entire home/apt;5;1.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;85.0;;;4;15;2;7;11;17;281;37;10.0;strict;1.96
Madrid, Community of Madrid, Spain;;Madrid;;Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Washer,Safety card,Essentials,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Private living room;;22.0;;10.0;1;0;2;22;52;82;82;0;;moderate;
La Latina, Madrid, Community of Madrid 28012, Spain;La Latina;Madrid;28012;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace;;53.0;;15.0;2;15;2;8;18;34;34;147;9.0;moderate;4.93
Hispanoamérica, Madrid, Comunidad de Madrid 28016, Spain;Hispanoamérica;Madrid;28016;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Doorman,Pets live on this property,Cat(s),Elevator in building,Buzzer/wireless intercom,Family/kid friendly,Essentials,Shampoo;;110.0;200.0;60.0;1;0;3;0;0;0;0;0;;strict;
Barajas, Madrid, Comunidad de Madrid 28042, Spain;Barajas;Madrid;28042;Spain;House;Private room;5;3.0;3.0;3.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Pool,Kitchen,Free parking on premises,Smoking allowed,Breakfast,Hot tub,Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private living room;;49.0;100.0;15.0;1;20;1;19;44;73;344;11;10.0;moderate;3.37
Embajadores, Madrid, Comunidad de Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo;;90.0;;;1;0;1;8;23;43;306;199;10.0;moderate;8.38
Recoletos, Madrid, Comunidad de Madrid 28009, Spain;Recoletos;Madrid;28009;Spain;Apartment;Entire home/apt;8;2.0;2.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;119.0;250.0;60.0;1;20;1;9;14;34;120;33;10.0;strict;2.24
